編號,詞語,義項,翻譯,TL,POJ,語句編號,語句,音檔,語句翻譯,翻譯TL,翻譯POJ
71,가운데,1700019,中央,tiong-ng,tiong-ng,17000191,길 가운데,,路中央,lōo tiong-ng,lō͘ tiong-ng
71,가운데,1700019,中央,tiong-ng,tiong-ng,17000192,우체국은 꽃 가게와 은행 가운데에 있어요.,,郵局就佇花店佮銀行兩个中央。,Iû-kiok tō tī hue-tiàm kah gîn-hâng nn̄g ê tiong-ng.,Iû-kiok tō tī hoe-tiàm kah gîn-hâng nn̄g ê tiong-ng.
76,가위,1700020,鉸刀,ka-to,ka-to,17000201,두꺼운 옷감을 자르려면 큰 가위가 필요하다.,,鉸較厚的布，著愛用大支鉸刀。,"Ka khah kāu ê pòo, tio̍h-ài iōng tuā ki ka-to.","Ka khah kāu ê pò͘, tio̍h-ài iōng tōa ki ka-to."
86,가장,1700022,上,siōng,siōng,17000221,적도 지방은 지구에서 가장 더운 곳이다.,,赤道地區是專地球上熱的所在。,Tshik-tō tē-khu sī tsuan sè-kài siōng jua̍h ê sóo-tsāi.,Chhek-tō tē-khu sī choan sè-kài siōng joa̍h ê só͘-chāi.
91,가져가다,1700023,,,,17000231,학생은 선생님에게 숙제를 **가져가** 검사를 받았다.,,學生仔**提**功課**去**請老師檢查。,Ha̍k-sing-á **the̍h** kong-kò **khì** tshiánn lāu-su kiám-tsa.,Ha̍k-seng-á **the̍h** kong-kò **khì** chhiáⁿ lāu-su kiám-cha.
96,가져오다,1700024,,,,17000241,선생님은 학생들에게 만화책을 학교에 **가져오**지 말라고 주의를 주셨다.,,老師共學生提醒講莫**紮**尪仔冊**來**學校。,Lāu-su kā ha̍k-sing thê-tshénn kóng mài **tsah** ang-á-tsheh **lâi** ha̍k-hāu.,Lāu-su kā ha̍k-seng thê-chhéⁿ kóng mài **chah** ang-á-chheh **lâi** ha̍k-hāu.
101,가족,1700025,兜,tau,tau,17000251,"우리 가족은 어머니, 아버지, 나, 여동생 모두 넷이에요.",,阮兜有阮爸阮媽、我、佮阮小妹，總共四个人。,"Guán tau ū guán pâ guán má, guá, kah guán sió-muē, tsóng-kiōng sì ê lâng.","Goán tau ū goán pâ goán má, góa, kah goán sió-mōe, chóng-kiōng sì ê lâng."
106,가지,1700026,種,tsióng,chióng,17000261,이 사탕은 여러 가지 맛이 난다.,,這个糖仔有出幾若種口味。,Tsit ê thn̂g-á ū tshut kuí-nā tsióng kháu-bī.,Chit ê thn̂g-á ū chhut kúi-nā chióng kháu-bī.
106,가지,1700027,樹枝,tshiū-ki,chhiū-ki,17000271, 가지를 꺾다,,共樹枝遏斷,kā tshiū-ki at-tn̄g,kā chhiū-ki at-tn̄g
111,가지다,1700028,有,ū,ū,17000281,내가 **가진** 돈이라고는 천 원이 전부였다.,,我甘焦有一千韓票爾。,Guá kan-na ū tsi̍t-tshing Hân-phiò niā.,Góa kan-na ū chi̍t-chheng Hân-phiò niā.
116,가짜,1700029,假,ké,ké,17000291,남자는 가짜 돈을 만들어 쓰다가 경찰에게 붙잡혔다.,,彼个查埔因為製造假錢來開，去予警方掠起來。,"Hit ê tsa-poo in-u ītsè-tsō ké-tsînn lâi khai, khì hōo kíng-hong  lia̍h--khí-lâi.","Hit ê cha-po͘ in-u itsè7-chō ké-chîⁿ lâi khai, khì hō͘ kéng-hong  lia̍h--khí-lâi."
121,각,1700030,每,muí,muí,17000301,우리는 배낭 하나만 메고 세계 각 나라를 돌아다녔다.,,阮一个揹仔揹咧，就去世界每一个國家踅一輾轉來。,"Guán tsi̍t ê phāinn-á phāinn--leh, tō khì sè-kài muí tsi̍t ê kok-ka se̍h tsi̍t liàn tńg--lâi.","Goán chi̍t ê phāiⁿ-á phāiⁿ--leh, tō khì sè-kài múi chi̍t ê kok-ka se̍h chi̍t liàn tńg--lâi."
126,간,1700031,的時間,ê sî-kan,ê sî-kan,17000311,한 달간,,一個月(的時間),tsi̍t kò gue̍h (ê sî-kan),chi̍t kò goe̍h (ê sî-kan)
