編號,動詞變化,詞語,語源,義項,詞類,等級,標籤,翻譯,TL,POJ,分類,近義詞,反義詞,相關詞,附註,,
1386,,께,,1700319,,B,,,,,,,,,,,
1391,,꼬리,,1700320,,B,,,,,,,,,,,
1396,,꼭,,1700321,,B,,,,,,,,,,,
1401,,꽃,,1700322,,B,,,,,,,,,,,
1401,,꽃,,1700323,,B,,,,,,,,,,,
1401,,꽃,,1700324,,B,,,,,,,,,,,
1406,,꽃집,,1700325,,B,,,,,,,,,,,
1411,규칙,꾸다,,1700326,,B,,,,,,,,,,,
1416,규칙,꾸미다,,1700327,,B,,,,,,,,,,,
1421,,꿈,,1700328,,B,,,,,,,,,,,
1426,으탈락,끄다,,1700329,,B,,,,,,,,,,,
1431,규칙,끊다,,1700330,,B,,,,,,,,,,,
1436,규칙,끓이다,,1700331,,B,,,,,,,,,,,
1441,,끝,,1700332,,B,,,,,,,,,,,
1446,규칙,끝나다,1476,1700333,,B,,,,,,,,,,,
1446,규칙,끝나다,1476,1700334,,B,,,,,,,,,,,
1451,규칙,끝내다,,1700335,,B,,,,,,,,,,,
1456,규칙,끼다,,1700336,,I,,,,,,,,,,,
1461,,나,,1700337,,B,,,,,,,,,,,
1461,,나,,1700338,,B,,,,,,,,,,,
1466,,나가다,36,1700339,,B,,,,,,,,,,,
1466,,나가다,36,1700340,,B,,,,,,,,,,,
1471,규칙,나누다,,1700341,,B,,,,,,,,,,,
1476,규칙,나다,,1700342,,B,,,,,,,,,,,
1481,,나라,,1700343,,B,,,,,,,,,,,
1481,,나라,,1700344,,B,,,,,,,,,,,
1481,,나라,,1700345,,B,,,,,,,,,,,
1486,,나무,,1700346,,B,,,,,,,,,,,
1486,,나무,,1700347,,B,,,,,,,,,,,
1486,,나무,,1700348,,B,,,,,,,,,,,
1491,,나비,,1700349,,B,,,,,,,,,,,
1496,규칙,나빠지다,,1700350,,I,,,,,,,,,,,
1501,으탈락,나쁘다,,1700351,,B,,,,,,,,,,,
1501,으탈락,나쁘다,,1700352,,B,,,,,,,,,,,
1506,규칙,나오다,,1700353,,B,,,,,,,,,,,
1511,,나이,,1700354,,B,,,,,,,,,,,
1516,,나중,,1700355,,B,,,,,,,,,,,
1521,,나중에,,1700356,,B,,,,,,,,,,,
1526,규칙,나타나다,,1700357,,B,,,,,,,,,,,
1531,,나흘,,1700358,,B,,,,,,,,,,,
1536,,낚시,,1700359,,B,,,,,,,,,,,
1536,,낚시,,1700360,,B,,,,,,,,,,,
1541,,날,,1700361,,B,,,,,,,,,,,
1546,,날씨,,1700362,,B,,,,,,,,,,,
1546,,날씨,,1700363,,B,,,,,,,,,,,
1546,,날씨,,1700364,,B,,,,,,,,,,,
1551,,날짜,,1700365,,B,,,,,,,,,,,
1556,,남,,1700366,,B,,,,,,,,,,,
1561,규칙,남기다,,1700367,,B,,,,,,,,,,,
1566,,남녀,,1700368,,B,,,,,,,,,,,
1571,,남대문시장,,1700369,,B,,,,,,,,,,,
1576,,남동생,KOR010,1700370,名,B,,小弟,sió-tī,sió-tī,04親屬稱謂,,,,,,
1581,,남미,,1700371,,B,,,,,,,,,,,
1586,,남북,,1700372,,I,,,,,,,,,,,
1591,,남자,KOR011,1700373,名,B,,查埔,tsa-poo,cha-po͘,05人物、身分,,,5661,,,
1596,,남쪽,,1700374,名,B,,南爿,lâm-pîng,lâm-pêng,,,,,,,
1601,,남편,KOR009,1700375,名,B,,翁，頭家,ang，thâu-ke,ang，thâu-ke,04親屬稱謂,,,5061,,,
1606,,남학생,,1700376,,B,,,,,,,,,,,
1611,,낮,,1700377,副,B,,日時仔,ji̍t--sî-á,ji̍t--sî-á,13時間,,,,,,
1616,규칙,낮다,,1700378,形,B,,低,kē,kē,,,1811,,,,
1616,규칙,낮다,,1700379,,B,,,,,,,,,,,
1621,,내,,1700380,,B,,,,,,,,,,,
1621,,내,,1700381,,B,,,,,,,,,,,
1626,,내가,,1700382,,B,,,,,,,,,,,
1631,,내과,,1700383,,B,,,,,,,,,,,
1636,,내년,,1700384,,B,,,,,,,,,,,
1641,규칙,내다,,1700385,,B,,,,,,,,,,,
1641,규칙,내다,,1700386,,B,,,,,,,,,,,
1646,,내려가다,36,1700387,,B,,,,,,,,,,,
1651,규칙,내려오다,,1700388,,B,,,,,,,,,,,
1656,규칙,내리다,,1700389,動,B,,落車,lo̍h-tshia,lo̍h-chhia,20交通,,8266,,,,
1656,규칙,내리다,,1700390,動,B,,落,lo̍h,lo̍h,11自然景觀,,,,,,
1661,,내용,,1700391,,B,,,,,,,,,,,
1666,,내일,,1700392,,B,,,,,,,,,,,
1666,,내일,,1700393,,B,,,,,,,,,,,
1671,,냄비,,1700394,,B,,,,,,,,,,,
1676,,냄새,,1700395,,B,,,,,,,,,,,
1681,,냉면,,1700396,,B,,,,,,,,,,,
1681,,냉면,,1700397,,B,,,,,,,,,,,
1686,,냉장고,,1700398,,B,,,,,,,,,,,
1686,,냉장고,,1700399,,B,,,,,,,,,,,
1691,,너,,1700400,,B,,,,,,,,,,,
1691,,너,,1700401,,B,,,,,,,,,,,
1696,,너무,,1700402,,B,,,,,,,,,,,
1701,규칙,넓다,,1700403,,B,,,,,,,,,,,
1706,규칙,넘다,,1700404,,B,,,,,,,,,,,
1711,규칙,넘어지다,,1700405,,B,,,,,,,,,,,
1716,규칙,넣다,,1700406,,B,,,,,,,,,,,
1721,,네,,1700407,,B,,,,,,,,,,,
1721,,네,,1700408,,B,,,,,,,,,,,
1721,,네,,1700409,,B,,,,,,,,,,,
1721,,네,,1700410,,B,,,,,,,,,,,
1726,,넥타이,,1700411,,B,,,,,,,,,,,
1731,,넷,,1700412,,B,,,,,,,,,,,
1731,,넷,,1700413,,B,,,,,,,,,,,
1736,,넷째,,1700414,,B,,,,,,,,,,,
1741,,년,,1700415,,B,,,,,,,,,,,
1746,,노란색,,1700416,,B,,,,,,,,,,,
1751,ㅎ불규칙,노랗다,,1700417,,B,,,,,22顏色,,,,,,
1756,,노래,,1700418,,B,,,,,,,,,,,
1756,,노래,,1700419,,B,,,,,,,,,,,
1761,,노래방,,1700420,,B,,,,,,,,,,,
1766,여불규칙,노래하다,8656,1700421,,B,,,,,,,,,,,
1771,여불규칙,노력하다,8656,1700422,,B,,,,,,,,,,,
1776,,노루,,1700423,,B,,,,,,,,,,,
1781,,노트,,1700424,,B,,,,,,,,,,,
1786,,녹색,,1700425,,B,,,,,,,,,,,
1791,,녹차,,1700426,,B,,,,,,,,,,,
1796,ㄹ탈락,놀다,,1700427,,B,,,,,,,,,,,
1796,ㄹ탈락,놀다,,1700428,,B,,,,,,,,,,,
1801,규칙,놀라다,,1700429,,B,,,,,,,,,,,
1806,,농구,,1700430,,B,,,,,,,,,,,
1811,규칙,높다,,1700431,形,B,,懸,kuân,koân,,,1616,,,,
1816,규칙,놓다,,1700432,,B,,,,,,,,,,,
1821,,누가,,1700433,,B,,,,,,,,,,,
1821,,누가,,1700434,,B,,,,,,,,,,,
1826,,누구,,1700435,,B,,,,,,,,,,,
1826,,누구,,1700436,,B,,,,,,,,,,,
1826,,누구,,1700437,,B,,,,,,,,,,,
1831,,누굴,,1700438,,B,,,,,,,,,,,
1836,,누나,,1700439,,B,,,,,,,,,,,
1836,,누나,,1700440,,B,,,,,,,,,,,
1836,,누나,,1700441,,B,,,,,,,,,,,
1841,르불규칙,누르다,,1700442,,B,,,,,,,,,,,
1846,,눈,,1700443,,B,,,,,,,,,,,
1846,,눈,,1700444,,B,,,,,,,,,,,
1846,,눈,,1700445,,B,,,,,,,,,,,
1851,,눈물,,1700446,,B,,,,,,,,,,,
1856,,눈사람,,1700447,,I,,,,,,,,,,,
1861,,눈싸움,,1700448,,I,,,,,,,,,,,
1866,ㅂ불규칙,눕다,,1700449,,B,,,,,,,,,,,
1871,,뉴스,,1700450,,B,,,,,,,,,,,
1871,,뉴스,,1700451,,B,,,,,,,,,,,
1876,,뉴욕,,1700452,,B,,,,,,,,,,,
1881,규칙,느끼다,,1700453,,B,,,,,,,,,,,
1886,,느낌,,1700454,,B,,,,,,,,,,,
1891,규칙,느리다,,1700455,,B,,,,,,,,,,,
1896,,늘,,1700456,,B,,,,,,,,,,,
1901,ㄹ탈락,늘다,,1700457,,B,,,,,,,,,,,
1906,,능력,,1700458,,B,,,,,,,,,,,
1911,규칙,늦다,,1700459,,B,,,,,,,,,,,
1911,규칙,늦다,,1700460,,B,,,,,,,,,,,
1911,규칙,늦다,,1700461,,B,,,,,,,,,,,
1916,,늦잠,,1700462,,I,,,,,,,,,,,
1921,규칙,늪다,,1700463,,B,,,,,,,,,,,
1926,,니까,,1700464,,B,,,,,,,,,,,
1931,,님,,1700465,,I,,,,,,,,,,,
1936,,다,,1700466,,B,,,,,,,,,,,
1936,,다,,1700467,,B,,,,,,,,,,,
1941,규칙,다녀오다,,1700468,,B,,,,,,,,,,,
1946,규칙,다니다,,1700469,,B,,,,,,,,,,,
1946,규칙,다니다,,1700470,,B,,,,,,,,,,,
1951,르불규칙,다르다,,1700471,,B,,,,,,,271,,,,
1956,,다른,,1700472,,B,,,,,,,,,,,
1961,,다리,,1700473,,B,,,,,,,,,,,
1961,,다리,,1700474,,B,,,,,,,,,,,
1966,,다리미,,1700475,,B,,,,,,,,,,,
1971,,다방,,1700476,,B,,,,,,,,,,,
1976,,다섯,,1700477,,B,,,,,,,,,,,
1976,,다섯,,1700478,,B,,,,,,,,,,,
1976,,다섯,,1700479,,B,,,,,,,,,,,
1981,,다시,,1700480,,B,,,,,,,,,,,
1981,,다시,,1700481,,B,,,,,,,,,,,
1986,,다음,,1700482,,B,,,,,,,,,,,
1986,,다음,,1700483,,B,,,,,,,,,,,
1991,,다음달,,1700484,,B,,,,,,,,,,,
1996,,다음주,,1700485,,B,,,,,,,,,,,
2001,,다음해,,1700486,,B,,,,,,,,,,,
2006,,다이어트,,1700487,,B,,,,,,,,,,,
2011,규칙,다치다,,1700488,,B,,,,,,,,,,,
2016,규칙,닦다,,1700489,,B,,,,,,,,,,,
2021,,단어,,1700490,,B,,,,,,,,,,,
2021,,단어,,1700491,,B,,,,,,,,,,,
2021,,단어,,1700492,,B,,,,,,,,,,,
2026,,단점,,1700493,,B,,,,,,,,,,,
2031,규칙,닫다,,1700494,形,B,,關,kuainn,koaiⁿ,25行動,,5736,,,,
2036,규칙,닫히다,,1700495,,I,,,,,,,,,,,
2041,,달,,1700496,,B,,,,,,,,,頭前加［韓語數字］。若用［漢語數字］，著愛改用개월{296}。,,
2041,,달,,1700497,,B,,,,,,,,,,,
2046,,달걀,,1700498,,B,,,,,,,,,,,
2051,ㄹ탈락,달다,,1700499,,B,,,,,,,,,,,
2056,,달러,,1700500,,B,,,,,,,,,,,
2056,,달러,,1700501,,I,,,,,,,,,,,
2061,,달력,,1700502,,B,,,,,,,,,,,
2066,규칙,달리다,,1700503,,B,,,,,,,,,,,
2071,,닭,,1700504,,B,,,,,,,,,,,
2076,,닭고기,,1700505,,B,,,,,,,,,,,
2081,규칙,닮다,,1700506,,B,,,,,,,,,,,
2086,으탈락,담그다,,1700507,,I,,,,,,,,,,,
2091,,담배,,1700508,,B,,,,,,,,,,,
2091,,담배,,1700509,,B,,,,,,,,,,,
2096,,답,,1700510,,B,,,,,,,,,,,
2101,,답장,,1700511,,B,,,,,,,,,,,
2106,,당근,,1700512,,I,,,,,,,,,,,
2111,,당신,,1700513,,I,,,,,,,,,,,
2116,,대,,1700514,,B,,,,,,,,,,,
2121,,대답,,1700515,,B,,,,,,,,,,,
2126,여불규칙,대답하다,8656,1700516,,B,,,,,,,,,,,
2126,여불규칙,대답하다,8656,1700517,,B,,,,,,,,,,,
2131,,대문,,1700518,,B,,,,,,,,,,,
2136,,대부분,,1700519,,B,,,,,,,,,,,
2141,,대사관,,1700520,,B,,,,,,,,,,,
2146,,대학,,1700521,,B,,,,,,,,,,,
2151,,대학교,,1700522,,B,,,,,,,,,,,
2151,,대학교,,1700523,,B,,,,,,,,,,,
2156,,대학생,,1700524,,B,,,,,,,,,,,
2161,,대학원,,1700525,,B,,,,,,,,,,,
2166,,대학원생,,1700526,,B,,,,,,,,,,,
2171,,대한민국,,1700527,,I,,,,,,,,,,,
2176,,대화,,1700528,,B,,,,,,,,,,,
2176,,대화,,1700529,,B,,,,,,,,,,,
2181,,대회,,1700530,,B,,,,,,,,,,,
2186,,댁,,1700531,,B,,,,,,,,,,,
2186,,댁,,1700532,,B,,,,,,,,,,,
2191,,더,,1700533,,B,,,,,,,,,,,
2191,,더,,1700534,,B,,,,,,,,,,,
2191,,더,,1700535,,B,,,,,,,,,,,
2196,ㅂ불규칙,더럽다,,1700536,,B,,,,,,,,,,,
2201,,더운물,,1700537,,B,,,,,,,,,,,
2206,,더워요,,1700538,,B,,,,,,,,,,,
2211,,덕분,,1700539,,B,,,,,,,,,,,
2216,ㅂ불규칙,덥다,,1700540,,B,,,,,,,,,,,
2216,ㅂ불규칙,덥다,,1700541,,B,,,,,,,,,,,
2221,규칙,덮다,,1700542,,I,,,,,,,,,,,
2226,규칙,데리다,,1700543,,I,,,,,,,,,,,
2231,,데이트,,1700544,,B,,,,,,,,,,,
2236,,도,,1700545,,B,,,,,,,,,,,
2241,,도로,,1700546,,B,,,,,,,,,,,
2246,,도서관,,1700547,,B,,,,,,,,,,,
2246,,도서관,,1700548,,B,,,,,,,,,,,
2251,,도시,,1700549,,B,,,,,,,,,,,
2256,규칙,도와주다,,1700550,,B,,,,,,,,,,,
2261,,도움,,1700551,,B,,,,,,,,,,,
2266,,도착,,1700552,,B,,,,,,,,,,,
2271,여불규칙,도착하다,8656,1700553,,B,,,,,,,,,,,
2271,여불규칙,도착하다,8656,1700554,,B,,,,,,,,,,,
2276,,도쿄,,1700555,,I,,,,,,,,,,,
2281,,도토리,,1700556,,B,,,,,,,,,,,
2286,,독서,,1700557,,B,,,,,,,,,,,
2291,,독서실,,1700558,,B,,,,,,,,,,,
2296,여불규칙,독서하다,8656,1700559,,B,,,,,,,,,,,
2301,,독일,,1700560,,I,,,,,,,,,,,
2306,,돈,,1700561,,B,,,,,,,,,,,
2306,,돈,,1700562,,B,,,,,,,,,,,
2306,,돈,,1700563,,B,,,,,,,,,,,
2311,ㄹ탈락,돌다,,1700564,,B,,,,,,,,,,,
2316,,돌아가다,36,1700565,,B,,,,,,,,,,,
2316,,돌아가다,36,1700566,,B,,,,,,,,,,,
2321,규칙,돌아오다,,1700567,,B,,,,,,,,,,,
2321,규칙,돌아오다,,1700568,,B,,,,,,,,,,,
2326,ㅂ불규칙,돕다,,1700569,,B,,,,,,,,,,,
2326,ㅂ불규칙,돕다,,1700570,,B,,,,,,,,,,,
2331,,동네,,1700571,,B,,,,,,,,,,,
2336,,동대문시장,,1700572,,I,,,,,,,,,,,
2341,,동물,,1700573,,B,,,,,,,,,,,
2346,,동생,,1700574,,B,,,,,,,,,,,
2346,,동생,,1700575,,B,,,,,,,,,,,
2351,,동아리,,1700576,,I,,,,,,,,,,,
2356,,동안,,1700577,,B,,,,,,,,,,,
2361,,동양,,1700578,,I,,,,,,,,,,,
2366,,동전,,1700579,,B,,,,,,,,,,,
2371,,동쪽,,1700580,,B,,,,,,,,,,,
2376,,돼지,,1700581,,B,,,,,,,,,,,
2376,,돼지,,1700582,,B,,,,,,,,,,,
2381,,돼지고기,,1700583,,B,,,,,,,,,,,
2386,규칙,되다,,1700584,,B,,,,,,,,,,,
2391,,된장,,1700585,,B,,,,,,,,,,,
2396,,된장국,,1700586,,B,,,,,,,,,,,
2401,,된장찌개,,1700587,,B,,,,,,,,,,,
2406,,두,,1700588,,B,,,,,,,,,,,
2406,,두,,1700589,,B,,,,,,,,,,,
2411,ㅂ불규칙,두껍다,,1700590,,B,,,,,,,,,,,
2416,규칙,두다,,1700591,,B,,,,,,,,,,,
2421,,두부,,1700592,,B,,,,,,,,,,,
2426,,두부찌개,,1700593,,B,,,,,,,,,,,
2431,,둘,,1700594,,B,,,,,,,,,,,
2431,,둘,,1700595,,B,,,,,,,,,,,
2436,,둘째,,1700596,,B,,,,,,,,,,,
2441,,뒤,,1700597,,B,,,,,,,,,,,
2446,,뒤쪽,,1700598,,B,,,,,,,,,,,
2451,,드라마,,1700599,,B,,,,,,,,,,,
2456,규칙,드리다,,1700600,,B,,,,,,,,,,,
2456,규칙,드리다,,1700601,,B,,,,,,,,,,,
2461,규칙,드시다,,1700602,,B,,,,,,,,,,,
2466,,듣기,,1700603,,I,,,,,,,,,,,
2471,ㄷ불규칙,듣다,,1700604,,B,,,,,,,,,,,
2476,,들,,1700605,,B,,,,,,,,,,,
2476,,들,,1700606,,B,,,,,,,,,,,
2476,,들,,1700607,,B,,,,,,,,,,,
2481,ㄹ탈락,들다,,1700608,,B,,,,,,,,,,,
2481,ㄹ탈락,들다,,1700609,,B,,,,,,,,,,,
2486,,들어가다,36,1700610,,B,,,,,,,,,,,
2491,규칙,들어오다,,1700611,,B,,,,,,,,,,,
2496,,등,,1700612,,B,,,,,,,,,,,
2501,,등산,,1700613,,B,,,,,,,,,,,
2506,,등산복,,1700614,,I,,,,,,,,,,,
2511,,등산화,,1700615,,B,,,,,,,,,,,
2516,,디브이디,,1700616,,B,,,,,,,,,,,
2521,,디자인,,1700617,,B,,,,,,,,,,,
2526,규칙,따다,,1700618,,B,,,,,,,,,,,
2531,여불규칙,따뜻하다,8656,1700619,,B,,,,,,,,,,,
2531,여불규칙,따뜻하다,8656,1700620,,B,,,,,,,,,,,
2536,,따라가다,36,1700621,,I,,,,,,,,,,,
2541,규칙,따라오다,,1700622,,I,,,,,,,,,,,
2546,,따로,,1700623,,B,,,,,,,,,,,
2551,르불규칙,따르다,,1700624,,B,,,,,,,,,,,
2551,르불규칙,따르다,,1700625,,I,,,,,,,,,,,
2556,,딸,,1700626,,B,,,,,,,,,,,
2561,,딸기,,1700627,,B,,,,,,,,,,,
2561,,딸기,,1700628,,B,,,,,,,,,,,
2566,,땀,,1700629,,B,,,,,,,,,,,
2571,,때,,1700630,,B,,,,,,,,,,,
2571,,때,,1700631,,B,,,,,,,,,,,
2576,,때문,,1700632,,B,,,,,,,,,,,
2576,,때문,,1700633,,B,,,,,,,,,,,
2581,규칙,떠나다,,1700634,,B,,,,,,,,,,,
2581,규칙,떠나다,,1700635,,B,,,,,,,,,,,
2581,규칙,떠나다,,1700636,,B,,,,,,,,,,,
2586,ㄹ탈락,떠들다,,1700637,,B,,,,,,,,,,,
2591,,떡,,1700638,,B,,,,,,,,,,,
2596,,떡국,,1700639,,B,,,,,,,,,,,
2601,,떡볶이,,1700640,,B,,,,,,,,,,,
2606,규칙,떨어지다,,1700641,,B,,,,,,,,,,,
2611,,또,,1700642,,B,,,,,,,,,,,
2611,,또,,1700643,,B,,,,,,,,,,,
2611,,또,,1700644,,B,,,,,,,,,,,
2616,,또는,,1700645,,B,,,,,,,,,,,
2621,규칙,똑같다,,1700646,,B,,,,,,,,,,,
2626,,똑바로,,1700647,,B,,,,,,,,,,,
2631,규칙,뛰다,,1700648,,B,,,,,,,,,,,
2631,규칙,뛰다,,1700649,,B,,,,,,,,,,,
2636,ㅂ불규칙,뜨겁다,,1700650,,B,,,,,,,,,,,
2641,으탈락,뜨다,,1700651,動,B,,擘開,peh-khui,peh-khui,,,191#1700044,,,,
2641,으탈락,뜨다,,1700652,,B,,,,,,,,,,,
2646,,뜻,,1700653,,B,,,,,,,,,,,
2646,,뜻,,1700654,,B,,,,,,,,,,,
2651,,띠,,1700655,,B,,,,,,,,,,,
2656,,ㄹ 거예요,,1700656,,B,,,,,,,,,,,
2661,,라디오,,1700657,,B,,,,,,,,,,,
2661,,라디오,,1700658,,B,,,,,,,,,,,
2661,,라디오,,1700659,,B,,,,,,,,,,,
2666,,라면,,1700660,,B,,,,,,,,,,,
2671,,러시아,,1700661,,I,,,,,,,,,,,
2676,여불규칙,려고 하다,8656,1700662,,B,,,,,,,,,,,
2681,,로,,1700663,,B,,,,,,,,,,,
2686,,로션,,1700664,,B,,,,,,,,,,,
2691,,마늘,,1700665,,I,,,,,,,,,,,
2696,르불규칙,마르다,,1700666,,B,,,,,,,,,,,
2701,,마리,,1700667,,B,,,,,,,,,,,
2706,규칙,마시다,,1700668,,B,,,,,,,,,,,
2706,규칙,마시다,,1700669,,B,,,,,,,,,,,
2711,,마음,,1700670,,B,,,,,,,,,,,
2711,,마음,,1700671,,B,,,,,,,,,,,
2716,,마지막,,1700672,,B,,,,,,,,,,,
2721,,마차,,1700673,,B,,,,,,,,,,,
2726,규칙,마치다,,1700674,,B,,,,,,,,,,,
2731,,마흔,,1700675,,B,,,,,,,,,,,
2736,규칙,막히다,,1700676,,B,,,,,,,,,,,
2741,,만,,1700677,,B,,,,,,,,,,,
2741,,만,,1700678,,B,,,,,,,,,,,
2746,규칙,만나다,,1700679,,B,,,,,,,,,,,
2746,규칙,만나다,,1700680,,B,,,,,,,,,,,
2751,,만두,,1700681,,B,,,,,,,,,,,
2756,ㄹ탈락,만들다,,1700682,,B,,,,,,,,,,,
2756,ㄹ탈락,만들다,,1700683,,B,,,,,,,,,,,
2761,,만일,,1700684,,B,,,,,,,,,,,
2766,규칙,만지다,,1700685,,B,,,,,,,,,,,
2771,,만화,,1700686,,B,,,,,,,,,,,
2771,,만화,,1700687,,B,,,,,,,,,,,
2776,규칙,많다,,1700688,,B,,,,,,,,,,,
2776,규칙,많다,,1700689,,B,,,,,,,,,,,
2781,,많이,,1700690,,B,,,,,,,,,,,
2781,,많이,,1700691,,B,,,,,,,,,,,
2786,,말,,1700692,,B,,,,,,,,,,,
2791,,말씀,,1700693,,B,,,,,,,,,,,
2796,여불규칙,말씀하다,8656,1700694,,B,,,,,,,,,,,
2801,,말하기,,1700695,,I,,,,,,,,,,,
2806,여불규칙,말하다,8656,1700696,,B,,,,,,,,,,,
2811,규칙,맑다,,1700697,,B,,,,,,,,,,,
2816,,맛,,1700698,,B,,,,,,,,,,,
2821,규칙,맛없다,,1700699,,B,,,,,,,,,,,
2826,규칙,맛있다,6761,1700700,,B,,,,,,,,,,,
2826,규칙,맛있다,6761,1700701,,B,,,,,,,,,,,
2831,규칙,맞다,,1700702,,B,,,,,,,,,,,
2831,규칙,맞다,,1700703,,B,,,,,,,,,,,
2836,규칙,맞습니다,,1700704,,B,,,,,,,,,,,
2841,,맞아요,,1700705,,B,,,,,,,,,,,
2846,,맞은편,,1700706,,I,,,,,,,,,,,
2851,규칙,매다,,1700707,,B,,,,,,,,,,,
2856,,매우,,1700708,,B,,,,,,,,,,,
2856,,매우,,1700709,,B,,,,,,,,,,,
2861,,매일,,1700710,,B,,,,,,,,,,,
2866,,매주,,1700711,,B,,,,,,,,,,,
2871,,맥주,,1700712,,B,,,,,,,,,,,
2871,,맥주,,1700713,,B,,,,,,,,,,,
2876,ㅂ불규칙,맵다,,1700714,,B,,,,,,,,,,,
2876,ㅂ불규칙,맵다,,1700715,,B,,,,,,,,,,,
2881,,머리,,1700716,,B,,,,,,,,,,,
2881,,머리,,1700717,,B,,,,,,,,,,,
2881,,머리,,1700718,,B,,,,,,,,,,,
2886,규칙,먹다,,1700719,,B,,,,,,,,,,,
2886,규칙,먹다,,1700720,,B,,,,,,,,,,,
2891,,먼저,,1700721,,B,,,,,,,,,,,
2896,ㄹ탈락,멀다,,1700722,形,B,,遠,hn̄g,hn̄g,32特徵,,21,,,,
2896,ㄹ탈락,멀다,,1700723,,B,,,,,,,,,,,
2901,규칙,멋있다,6761,1700724,,B,,,,,,,,,,,
2906,,메뉴,,1700725,,B,,,,,,,,,,,
2906,,메뉴,,1700726,,B,,,,,,,,,,,
2911,규칙,메다,,1700727,,B,,,,,,,,,,,
2916,,메모,,1700728,,B,,,,,,,,,,,
2921,,메시지,,1700729,,B,,,,,,,,,,,
2926,,멕시코,,1700730,,I,,,,,,,,,,,
2931,,며칠,,1700731,,B,,,,,,,,,,,
2931,,며칠,,1700732,,B,,,,,,,,,,,
2931,,며칠,,1700733,,B,,,,,,,,,,,
2936,,면,,1700734,,B,,,,,,,,,,,
2941,,면도,,1700735,,I,,,,,,,,,,,
2946,,면서,,1700736,,B,,,,,,,,,,,
2951,,명,,1700737,,B,,,,,,,,,,,
2951,,명,,1700738,,B,,,,,,,,,,,
2956,,명절,,1700739,,B,,,,,,,,,,,
2961,,몇,,1700740,,B,,,,,,,,,,,
2961,,몇,,1700741,,B,,,,,,,,,,,
2961,,몇,,1700742,,B,,,,,,,,,,,
2966,,모기,,1700743,,B,,,,,,,,,,,
2971,,모두,,1700744,,B,,,,,,,,,,,
2971,,모두,,1700745,,B,,,,,,,,,,,
2971,,모두,,1700746,,B,,,,,,,,,,,
2976,,모래,,1700747,,B,,,,,,,,,,,
2981,,모레,,1700748,,B,,,,,,,,,,,
2986,규칙,모르겠습니다,,1700749,,B,,,,,,,,,,,
2991,르불규칙,모르다,,1700750,,B,,,,,,,,,,,
2996,규칙,모시다,,1700751,,B,,,,,,,,,,,
3001,,모양,,1700752,,B,,,,,,,,,,,
3006,으탈락,모으다,,1700753,,B,,,,,,,,,,,
3011,규칙,모이다,,1700754,,B,,,,,,,,,,,
3016,,모임,,1700755,,B,,,,,,,,,,,
3021,,모자,,1700756,,B,,,,,,,,,,,
3021,,모자,,1700757,,B,,,,,,,,,,,
3021,,모자,,1700758,,B,,,,,,,,,,,
3026,,목,,1700759,,B,,,,,,,,,,,
3026,,목,,1700760,,B,,,,,,,,,,,
3031,,목걸이,,1700761,,B,,,,,,,,,,,
3036,,목소리,,1700762,,B,,,,,,,,,,,
3041,,목요일,,1700763,,B,,,,,,,,,,,
3041,,목요일,,1700764,,B,,,,,,,,,,,
3046,,목욕,,1700765,,B,,,,,,,,,,,
3051,여불규칙,목욕하다,8656,1700766,,B,,,,,,,,,,,
3056,,목적,,1700767,,B,,,,,,,,,,,
3061,,몸,,1700768,,B,,,,,,,,,,,
3066,,몸살,,1700769,,I,,,,,,,,,,,
3071,,못,,1700770,,B,,,,,,,,,,,
3076,여불규칙,못하다,8656,1700771,,B,,,,,,,,,,,
3081,,몽골,,1700772,,I,,,,,,,,,,,
3086,,무,,1700773,,B,,,,,,,,,,,
3091,ㅂ불규칙,무겁다,,1700774,形,B,,重,tāng,tāng,32特徵,,51,,,,
3096,,무궁화,,1700775,,B,,,,,,,,,,,
3101,,무료,,1700776,,B,,,,,,,,,,,
3106,,무릎,,1700777,,B,,,,,,,,,,,
3106,,무릎,,1700778,,B,,,,,,,,,,,
3111,,무리,,1700779,,B,,,,,,,,,,,
3116,ㅂ불규칙,무섭다,,1700780,,B,,,,,,,,,,,
3121,,무슨,,1700781,,B,,,,,,,,,,,
3121,,무슨,,1700782,,B,,,,,,,,,,,
3126,,무엇,,1700783,,B,,,,,,,,,,,
3126,,무엇,,1700784,,B,,,,,,,,,,,
3131,,무엇이,,1700785,,B,,,,,,,,,,,
3136,,무역,,1700786,,I,,,,,,,,,,,
3141,,무용,,1700787,,I,,,,,,,,,,,
3146,,무척,,1700788,,B,,,,,,,,,,,
3151,,문,,1700789,,B,,,,,,,,,,,
3151,,문,,1700790,,B,,,,,,,,,,,
3151,,문,,1700791,,B,,,,,,,,,,,
3156,,문구점,,1700792,,I,,,,,,,,,,,
3161,,문법,,1700793,,B,,,,,,,,,,,
3166,,문장,,1700794,,I,,,,,,,,,,,
3171,,문제,,1700795,,B,,,,,,,,,,,
3176,,문화,,1700796,,B,,,,,,,,,,,
3181,ㄷ불규칙,묻다,,1700797,,B,,,,,,,,,,,
3186,,물,,1700798,,B,,,,,,,,,,,
3191,,물건,,1700799,,B,,,,,,,,,,,
3191,,물건,,1700800,,B,,,,,,,,,,,
3196,,물론,,1700801,,B,,,,,,,,,,,
3201,규칙,물어보다,,1700802,,B,,,,,,,,,,,
